Contig	Domain	Phylum	Class	Order	Family	Genus	Species
k141_1072713_length_1653_cov_25.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_1077106_length_3525_cov_82.5632	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1080386_length_1955_cov_168.7404	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_1106346_length_1883_cov_72.4104	Bacteria	Actinobacteria	Actinomycetia	Micromonosporales	Micromonosporaceae		
k141_1115644_length_2600_cov_56.0000	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae		
k141_112506_length_1818_cov_26.6589	Bacteria	Actinobacteria	Nitriliruptoria	Egicoccales	Egicoccaceae		
k141_1132398_length_3390_cov_37.4518	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermabacteraceae		
k141_1135966_length_6057_cov_14.0000	Bacteria	Actinobacteria					
k141_1156704_length_2736_cov_14.0000	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae		
k141_1159561_length_8028_cov_30.4979	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae		
k141_1159743_length_2678_cov_73.0623	Bacteria	Actinobacteria	Actinomycetia	Micrococcales			
k141_1162324_length_3329_cov_42.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_1163930_length_7171_cov_62.8188	Bacteria	Actinobacteria	Actinomycetia				
k141_1170656_length_6243_cov_41.0008	Bacteria	Actinobacteria					
k141_117119_length_3094_cov_176.7897	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1171918_length_1564_cov_50.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1172359_length_2758_cov_23.9511	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae		
k141_1178360_length_1823_cov_20.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1181126_length_4309_cov_33.4379	Bacteria	Actinobacteria	Actinomycetia				
k141_1182673_length_4233_cov_32.6241	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae		
k141_119576_length_4711_cov_54.0000	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae		
k141_1207311_length_1654_cov_57.6609	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1207407_length_3722_cov_60.4563	Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Streptosporangiaceae		
k141_1213205_length_2248_cov_7.1528	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae		
k141_1215732_length_5091_cov_12.9727	Bacteria	Actinobacteria	Actinomycetia				
k141_1218909_length_2519_cov_51.0000	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae		
k141_12215_length_2943_cov_217.8790	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1223447_length_1893_cov_30.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae		
k141_1229158_length_1828_cov_62.2336	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae		
k141_123337_length_2802_cov_38.8174	Bacteria	Actinobacteria	Actinomycetia				
k141_1245959_length_2787_cov_63.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_1246180_length_1267_cov_6.0000	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae		
k141_1250305_length_22676_cov_41.3698	Bacteria	Actinobacteria					
k141_1251624_length_3281_cov_35.0000	Bacteria	Actinobacteria	Nitriliruptoria				
k141_1251916_length_3500_cov_49.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_125892_length_2341_cov_31.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Intrasporangiaceae		
k141_126825_length_4408_cov_41.0905	Bacteria	Actinobacteria					
k141_126883_length_1905_cov_124.0935	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae		
k141_1276057_length_5743_cov_45.3415	Bacteria	Actinobacteria					
k141_1276202_length_15500_cov_55.9980	Bacteria	Actinobacteria					
k141_1278509_length_3711_cov_242.0490	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae		
k141_1279454_length_1953_cov_116.8951	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae		
k141_1285202_length_2762_cov_44.1339	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1286561_length_7593_cov_16.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_1288226_length_1913_cov_32.5632	Bacteria	Actinobacteria	Nitriliruptoria	Egibacterales	Egibacteraceae		
k141_1292255_length_1739_cov_65.2666	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_12961_length_1080_cov_34.4409	Bacteria	Actinobacteria	Actinomycetia				
k141_1312419_length_3414_cov_66.5652	Bacteria	Actinobacteria	Nitriliruptoria	Egibacterales	Egibacteraceae	Egibacter	Egibacter rhizosphaerae
k141_132334_length_1895_cov_5.0000	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae		
k141_1327611_length_2569_cov_89.8460	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1328035_length_2171_cov_16.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_1348063_length_2322_cov_21.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1352220_length_3002_cov_14.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_1358571_length_2110_cov_65.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_1358832_length_4133_cov_111.5699	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1367502_length_5120_cov_580.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_1374135_length_5492_cov_23.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_1394583_length_2479_cov_35.8379	Bacteria	Actinobacteria	Nitriliruptoria	Egibacterales	Egibacteraceae		
k141_1396669_length_1687_cov_25.4004	Bacteria	Actinobacteria	Actinomycetia				
k141_1399609_length_2311_cov_92.5000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1401292_length_2238_cov_47.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_140255_length_5502_cov_28.0000	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales			
k141_1402754_length_9052_cov_55.2422	Bacteria	Actinobacteria					
k141_1420495_length_1956_cov_42.1736	Bacteria	Actinobacteria	Actinomycetia				
k141_1421386_length_3148_cov_39.0000	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Baekduiaceae		
k141_1431907_length_3751_cov_38.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1432607_length_5043_cov_40.0000	Bacteria	Actinobacteria	Nitriliruptoria				
k141_1435289_length_2746_cov_30.1328	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae		
k141_1450265_length_5964_cov_72.8097	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1451770_length_3091_cov_59.8912	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_1454270_length_1706_cov_54.6735	Bacteria	Actinobacteria	Actinomycetia				
k141_1458987_length_10549_cov_35.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_147629_length_3701_cov_75.1770	Bacteria	Actinobacteria	Actinomycetia				
k141_1476989_length_1284_cov_15.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae		
k141_1480051_length_3447_cov_68.7686	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae		
k141_1481007_length_9793_cov_228.2455	Bacteria	Actinobacteria	Actinomycetia				
k141_148313_length_2204_cov_79.0921	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae		
k141_1485461_length_4118_cov_34.8486	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1509818_length_2918_cov_27.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1518295_length_1522_cov_98.0304	Bacteria	Actinobacteria	Actinomycetia				
k141_1521544_length_2609_cov_5.0000	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae		
k141_1529776_length_2107_cov_35.3276	Bacteria	Actinobacteria	Actinomycetia				
k141_1532452_length_6765_cov_36.6784	Bacteria	Actinobacteria	Nitriliruptoria				
k141_1535018_length_2937_cov_24.0000	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae		
k141_1538844_length_2743_cov_22.2145	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1539066_length_1333_cov_10.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1539583_length_2603_cov_31.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1556129_length_1993_cov_13.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae		
k141_1557380_length_2422_cov_76.8220	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae		
k141_155754_length_1985_cov_28.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1566235_length_3847_cov_32.0262	Bacteria	Actinobacteria	Nitriliruptoria	Euzebyales	Euzebyaceae		
k141_1568509_length_3419_cov_55.5662	Bacteria	Actinobacteria	Actinomycetia				
k141_157910_length_3093_cov_39.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_1585357_length_2173_cov_33.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1585428_length_7315_cov_23.0000	Bacteria	Actinobacteria					
k141_1593255_length_2215_cov_90.9484	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae		
k141_1611714_length_5348_cov_34.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_1614265_length_8171_cov_42.0000	Bacteria	Actinobacteria					
k141_163865_length_5818_cov_124.8568	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae		
k141_1643159_length_2484_cov_8.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_1643332_length_1505_cov_25.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_1647959_length_4082_cov_37.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_16537_length_3219_cov_55.7882	Bacteria	Actinobacteria	Nitriliruptoria	Euzebyales	Euzebyaceae		
k141_1656263_length_1647_cov_100.4595	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1661037_length_2622_cov_83.5272	Bacteria	Actinobacteria	Actinomycetia				
k141_1662713_length_1924_cov_40.0000	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae		
k141_1667321_length_2972_cov_88.0000	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Gordoniaceae		
k141_1672167_length_1496_cov_31.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_1681517_length_2819_cov_26.0000	Bacteria	Actinobacteria	Nitriliruptoria	Euzebyales	Euzebyaceae		
k141_1683448_length_3888_cov_14.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1690831_length_4188_cov_42.0000	Bacteria	Actinobacteria	Nitriliruptoria				
k141_1699424_length_1742_cov_19.0000	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Gordoniaceae		
k141_1704819_length_3533_cov_13.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Ornithinimicrobiaceae		
k141_1706536_length_4894_cov_34.0000	Bacteria	Actinobacteria					
k141_1707226_length_1871_cov_62.6370	Bacteria	Actinobacteria	Actinomycetia				
k141_1709963_length_2841_cov_10.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_1714440_length_16359_cov_38.6960	Bacteria	Actinobacteria	Nitriliruptoria	Euzebyales	Euzebyaceae		
k141_1717219_length_1933_cov_17.0424	Bacteria	Actinobacteria	Nitriliruptoria	Egibacterales	Egibacteraceae	Egibacter	Egibacter rhizosphaerae
k141_1723610_length_4183_cov_37.1997	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae		
k141_1736169_length_2665_cov_22.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1737815_length_2346_cov_21.6821	Bacteria	Actinobacteria	Actinomycetia	Micromonosporales	Micromonosporaceae		
k141_1738273_length_1419_cov_25.0000	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae		
k141_1743702_length_20939_cov_27.2803	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae		
k141_1752877_length_2096_cov_48.3780	Bacteria	Actinobacteria	Actinomycetia	Micrococcales			
k141_1755151_length_2531_cov_79.4971	Bacteria	Actinobacteria	Actinomycetia				
k141_1756184_length_2667_cov_18.0000	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae		
k141_1760617_length_1007_cov_5.0000	Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Thermomonosporaceae		
k141_1769942_length_2560_cov_25.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_1770909_length_5589_cov_19.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1777820_length_3623_cov_70.9925	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1778756_length_3183_cov_79.7705	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1788000_length_1887_cov_69.2766	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1795181_length_2615_cov_37.6710	Bacteria	Actinobacteria					
k141_1795185_length_2043_cov_57.5705	Bacteria	Actinobacteria	Actinomycetia				
k141_1797624_length_2949_cov_6.0000	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae		
k141_1808764_length_2144_cov_49.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1811001_length_1981_cov_28.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1811057_length_9691_cov_47.0484	Bacteria	Actinobacteria	Nitriliruptoria				
k141_1822247_length_7476_cov_14.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae		
k141_1829507_length_5154_cov_65.7395	Bacteria	Actinobacteria					
k141_1831998_length_4929_cov_24.0533	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1839352_length_1578_cov_51.2895	Bacteria	Actinobacteria	Actinomycetia	Actinobacteria bacterium YIM 96077			
k141_1848590_length_3284_cov_55.5975	Bacteria	Actinobacteria	Actinomycetia	Frankiales	Frankiaceae		
k141_1849098_length_2026_cov_58.3162	Bacteria	Actinobacteria	Actinomycetia	Actinobacteria bacterium IMCC26256			
k141_1852924_length_1914_cov_14.8895	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1858497_length_1789_cov_36.8143	Bacteria	Actinobacteria	Actinomycetia				
k141_1864678_length_3880_cov_31.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_1870886_length_2839_cov_54.5397	Bacteria	Actinobacteria	Actinomycetia				
k141_18711_length_1788_cov_33.4979	Bacteria	Actinobacteria	Actinomycetia	Jiangellales	Jiangellaceae		
k141_1871435_length_2226_cov_30.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermacoccaceae		
k141_1889721_length_1081_cov_25.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_189248_length_3207_cov_51.1331	Bacteria	Actinobacteria	Actinomycetia				
k141_1902796_length_3176_cov_41.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_1902880_length_3356_cov_37.0000	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae		
k141_190559_length_4272_cov_33.0000	Bacteria	Actinobacteria	Nitriliruptoria				
k141_1915463_length_2344_cov_27.0000	Bacteria	Actinobacteria	Actinomycetia	Micromonosporales	Micromonosporaceae		
k141_191937_length_14566_cov_47.0000	Bacteria	Actinobacteria					
k141_1929436_length_3174_cov_40.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_193114_length_1943_cov_130.0572	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_1934243_length_1799_cov_34.5899	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae		
k141_193438_length_1915_cov_29.7289	Bacteria	Actinobacteria	Actinomycetia				
k141_1936583_length_1728_cov_19.4468	Bacteria	Actinobacteria	Nitriliruptoria	Egicoccales	Egicoccaceae		
k141_1941567_length_1574_cov_16.0000	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae		
k141_194262_length_2294_cov_34.6526	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_1942814_length_5440_cov_13.0000	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae		
k141_194347_length_2453_cov_24.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_1943523_length_11292_cov_44.1789	Bacteria	Actinobacteria	Nitriliruptoria				
k141_1947185_length_16634_cov_48.8929	Bacteria	Actinobacteria	Nitriliruptoria				
k141_1949544_length_1950_cov_82.2510	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Ornithinimicrobiaceae		
k141_1951555_length_1737_cov_21.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Cellulomonadaceae		
k141_1957760_length_5411_cov_66.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_1958150_length_3986_cov_53.1207	Bacteria	Actinobacteria	Actinomycetia	Micromonosporales	Micromonosporaceae		
k141_1964309_length_4095_cov_32.0000	Bacteria	Actinobacteria	Actinomycetia	Frankiales	Frankineae bacterium MT45		
k141_1974571_length_8653_cov_35.0000	Bacteria	Actinobacteria	Nitriliruptoria	Egibacterales	Egibacteraceae	Egibacter	Egibacter rhizosphaerae
k141_1975008_length_2295_cov_60.0000	Bacteria	Actinobacteria					
k141_1986754_length_13773_cov_32.7183	Bacteria	Actinobacteria					
k141_1996090_length_2442_cov_37.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_2019775_length_2465_cov_36.0000	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Baekduiaceae		
k141_2022618_length_1622_cov_88.9716	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_2035790_length_2085_cov_32.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_2040427_length_4775_cov_30.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_2055240_length_1769_cov_70.1597	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_2057941_length_3580_cov_35.1951	Bacteria	Actinobacteria	Actinomycetia				
k141_2058873_length_1592_cov_36.8181	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_2058875_length_2124_cov_36.0000	Bacteria	Actinobacteria	Actinomycetia	Jiangellales	Jiangellaceae		
k141_2062377_length_1944_cov_19.0000	Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Thermomonosporaceae		
k141_2070370_length_2903_cov_16.0000	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae		
k141_2072556_length_1701_cov_48.0000	Bacteria	Actinobacteria	Nitriliruptoria				
k141_2077267_length_2834_cov_20.0000	Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Streptosporangiaceae		
k141_2078764_length_2223_cov_11.0000	Bacteria	Actinobacteria	Actinomycetia	Jiangellales	Jiangellaceae		
k141_2087321_length_7251_cov_42.8246	Bacteria	Actinobacteria					
k141_2094479_length_3603_cov_18.0029	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_2095315_length_1899_cov_12.0000	Bacteria	Actinobacteria	Nitriliruptoria	Egibacterales	Egibacteraceae		
k141_2096342_length_5909_cov_17.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_2106931_length_2006_cov_20.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_2111739_length_2353_cov_24.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Bogoriellaceae		
k141_212019_length_3061_cov_39.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_2121330_length_1577_cov_27.0000	Bacteria	Actinobacteria	Nitriliruptoria	Egicoccales	Egicoccaceae		
k141_2124594_length_5305_cov_32.0000	Bacteria	Actinobacteria					
k141_2138016_length_1697_cov_108.2519	Bacteria	Actinobacteria	Actinomycetia				
k141_2143142_length_2178_cov_24.8547	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_2149948_length_13708_cov_38.5744	Bacteria	Actinobacteria					
k141_2157344_length_2506_cov_54.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae		
k141_2169893_length_2072_cov_8.7266	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_2172372_length_1533_cov_43.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Bogoriellaceae		
k141_2175522_length_6119_cov_102.5094	Bacteria	Actinobacteria	Actinomycetia				
k141_2183675_length_3153_cov_52.1517	Bacteria	Actinobacteria	Actinomycetia				
k141_218581_length_2027_cov_50.4396	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae		
k141_2188566_length_3158_cov_40.0000	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae		
k141_2191148_length_2056_cov_36.0000	Bacteria	Actinobacteria	Actinomycetia	Micromonosporales	Micromonosporaceae		
k141_2191246_length_2070_cov_70.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_2207787_length_2004_cov_10.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_2223693_length_2966_cov_18.0000	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae		
k141_222419_length_2300_cov_53.8425	Bacteria	Actinobacteria					
k141_2231745_length_4490_cov_36.9653	Bacteria	Actinobacteria					
k141_2234000_length_4300_cov_52.0361	Bacteria	Actinobacteria					
k141_2239854_length_2284_cov_81.0000	Bacteria	Actinobacteria	Nitriliruptoria	Egibacterales	Egibacteraceae		
k141_2244854_length_3136_cov_48.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_2251293_length_4415_cov_30.0945	Bacteria	Actinobacteria					
k141_2256093_length_4437_cov_53.5996	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_225736_length_3817_cov_40.2783	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_2272830_length_1282_cov_29.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_2274584_length_5948_cov_15.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae		
k141_2276876_length_1435_cov_25.0000	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae		
k141_2277016_length_1685_cov_52.0000	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_2279900_length_3658_cov_78.9664	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_228850_length_1596_cov_78.6131	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae		
k141_229310_length_4022_cov_35.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_230390_length_2382_cov_60.1080	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae		
k141_2312643_length_2480_cov_49.1556	Bacteria	Actinobacteria	Actinomycetia				
k141_2323961_length_2949_cov_47.3917	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae		
k141_235652_length_5414_cov_59.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_241212_length_2527_cov_20.3194	Bacteria	Actinobacteria					
k141_246582_length_2032_cov_50.0000	Bacteria	Actinobacteria	Nitriliruptoria	Egicoccales	Egicoccaceae		
