KO_ID	Function Name	AL1	AL3	AL4	CH1	CH2	CH3	SG1	SG2	SG3	SG4	SG5	SGT1	SGT2	SGT3	YG1	YG2	YG3
K00018	glycerate dehydrogenase [EC:1.1.1.29]	2	1	3	8	2	0	2	5	2	5	3	6	5	4	4	5	1
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	16	27	32	22	21	4	12	17	7	24	31	16	22	22	26	23	14
K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	3	5	3	9	5	2	4	4	1	7	4	4	5	5	11	5	2
K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	26	35	56	47	42	18	36	43	17	40	52	30	52	45	58	31	26
K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K00024	malate dehydrogenase [EC:1.1.1.37]	30	37	45	46	36	12	32	34	17	36	44	22	42	40	51	33	27
K00026	malate dehydrogenase [EC:1.1.1.37]	3	3	2	3	0	0	0	3	4	3	2	3	2	4	3	3	3
K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	5	8	8	8	4	7	6	9	4	5	7	7	7	7	6	8	5
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	31	40	50	42	37	11	24	31	17	31	40	21	48	45	52	33	25
K00030	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	3	7	7	11	7	3	8	10	3	9	5	8	7	6	9	10	4
K00031	isocitrate dehydrogenase [EC:1.1.1.42]	32	47	47	55	38	15	44	46	19	48	51	31	58	49	58	32	36
K00032	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	31	46	50	38	37	18	32	35	19	37	34	30	49	41	50	37	29
K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	8	6	12	6	5	1	6	10	2	11	6	3	8	7	11	5	9
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	7	12	10	10	7	8	11	10	9	9	10	14	18	11	14	10	9
K00038	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
K00039	ribitol 2-dehydrogenase [EC:1.1.1.56]	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
K00041	tagaturonate reductase [EC:1.1.1.58]	2	0	0	1	1	0	1	2	1	2	1	1	0	1	1	1	1
K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	0	2	0	2	0	1	0	0	0	3	3	1	4	3	1	1	1
K00046	gluconate 5-dehydrogenase [EC:1.1.1.69]	3	6	2	6	5	3	2	5	6	6	4	2	3	5	4	3	5
K00048	lactaldehyde reductase [EC:1.1.1.77]	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K00050	hydroxypyruvate reductase [EC:1.1.1.81]	32	48	56	45	36	16	45	36	26	49	44	31	53	45	55	40	28
K00051	malate dehydrogenase (NADP+) [EC:1.1.1.82]	1	1	1	1	0	0	1	1	1	2	1	1	1	0	1	1	1
K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	32	37	49	46	31	20	31	33	19	36	37	27	39	38	50	31	33
K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	33	38	53	45	30	12	29	33	17	42	36	22	44	38	45	26	27
K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	4	5	6	5	5	3	2	6	1	4	4	4	6	3	8	2	6
K00055	aryl-alcohol dehydrogenase [EC:1.1.1.90]	6	6	6	5	5	2	7	3	4	10	6	2	14	5	4	6	5
K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	7	14	12	22	13	10	14	11	7	20	14	18	23	17	16	14	8
K00058	D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]	73	90	116	118	82	47	81	83	48	106	92	73	118	105	103	77	65
K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	152	198	219	196	151	60	142	165	84	161	175	110	176	175	219	142	133
K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	1	0	0	0	0	0	0	0	1	0	2	0	1	2	1	0	0
K00064	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	0	0	0	3	0	0	0	0	0	0	0	1	3	1	0	0	0
K00065	2-deoxy-D-gluconate 3-dehydrogenase [EC:1.1.1.125]	0	1	1	3	3	1	1	3	0	2	4	1	2	4	1	1	1
K00066	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	4	6	4	6	4	4	8	5	5	6	10	6	6	8	6	11	4
K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	19	31	37	28	22	14	26	27	15	36	33	24	28	29	36	21	17
K00068	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	1	0	1	0	0	2	0	0	1	2	3	1	2	2	2	0	3
K00073	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	2	3	2	1	0	0	1	0	0	0	0	1	0	1	1	0	1
K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	42	60	81	57	53	16	45	57	23	57	55	30	54	55	73	39	50
K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	6	10	10	10	10	4	6	9	5	9	8	12	14	9	14	13	6
K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	32	39	47	37	29	17	25	33	10	32	35	16	35	30	49	25	27
K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	0	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	0
K00082	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	3	2	0	1	2	1	2	2	2	2	1	1	2	1	2	1	3
K00086	1,3-propanediol dehydrogenase [EC:1.1.1.202]	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00087	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	0	0	0	0	0	0	0	1	0	1	3	0	1	1	1	1	1
K00088	IMP dehydrogenase [EC:1.1.1.205]	71	108	114	133	88	43	87	102	46	113	98	57	124	102	129	87	63
K00091	dihydroflavonol-4-reductase [EC:1.1.1.219]	19	14	24	21	15	8	11	14	10	21	10	15	13	15	18	10	11
K00096	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	22	29	40	33	25	12	14	23	9	25	30	12	30	32	35	18	20
K00097	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	20	19	33	32	24	14	25	22	16	27	20	21	32	34	25	26	12
K00099	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	10	12	12	15	10	8	10	14	5	14	10	10	13	14	13	12	7
K00100	E1.1.1.-	33	53	80	85	55	32	59	49	21	60	78	45	89	77	72	44	36
K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	0	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0
K00102	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	17	29	36	30	24	7	18	25	7	23	32	18	37	26	32	25	23
K00103	L-gulonolactone oxidase [EC:1.1.3.8]	1	3	3	4	2	2	3	3	1	3	2	5	4	4	7	5	5
K00104	glycolate oxidase [EC:1.1.3.15]	3	5	5	4	5	2	3	4	2	5	3	5	5	3	5	4	4
K00108	choline dehydrogenase [EC:1.1.99.1]	6	11	18	20	18	5	12	17	8	16	21	14	14	18	22	18	7
K00109	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0
K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	55	67	76	72	77	32	68	58	34	83	79	48	79	71	79	58	48
K00112	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	20	27	37	31	31	8	29	25	13	24	34	17	26	29	32	26	16
K00113	glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]	24	26	32	23	24	8	18	27	12	22	24	12	27	24	27	14	14
K00114	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	5	4	4	4	1	0	1	1	0	0	1	0	3	1	1	0	0
K00116	malate dehydrogenase (quinone) [EC:1.1.5.4]	3	3	4	0	1	1	1	1	0	3	3	0	2	1	2	3	1
K00117	quinoprotein glucose dehydrogenase [EC:1.1.5.2]	4	3	5	7	5	2	3	4	2	5	7	5	5	7	9	6	4
K00118	glucose-fructose oxidoreductase [EC:1.1.99.28]	10	8	13	10	13	4	8	9	9	13	13	10	14	9	11	12	5
K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	3	4	3	4	2	0	0	4	2	5	5	4	4	4	4	4	0
K00122	formate dehydrogenase [EC:1.2.1.2]	0	1	1	3	3	0	1	1	0	2	2	2	1	3	2	1	0
K00123	formate dehydrogenase major subunit [EC:1.2.1.2]	47	61	93	69	54	19	55	61	43	71	75	39	58	64	77	66	50
K00124	formate dehydrogenase iron-sulfur subunit	11	9	17	6	7	3	7	10	4	10	7	5	9	7	11	4	11
K00127	formate dehydrogenase subunit gamma	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1
K00128	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	104	153	183	149	133	50	124	138	72	138	163	101	152	144	180	117	92
K00130	betaine-aldehyde dehydrogenase [EC:1.2.1.8]	3	4	4	7	5	0	2	9	1	3	7	4	2	6	5	7	5
K00131	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1
K00133	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	24	38	41	55	38	16	36	37	17	44	41	35	55	36	53	34	29
K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	12	16	16	24	23	12	26	19	11	30	20	19	25	30	21	22	16
K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	46	74	67	64	51	19	37	65	27	58	65	38	54	61	68	59	47
K00140	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	13	21	21	23	19	7	21	22	19	19	30	21	22	26	20	25	16
K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	7	11	10	12	8	5	9	9	5	15	11	8	8	8	14	11	8
K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	7	7	10	21	12	9	12	12	6	14	13	13	22	17	12	12	9
K00148	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	5	4	4	3	5	2	2	1	1	3	5	1	3	2	8	1	2
K00150	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	19	35	30	38	28	8	31	28	14	42	41	14	34	36	39	24	18
K00156	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	1	2	4	3	2	1	2	2	1	3	3	4	1	2	3	2	1
K00161	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	81	119	146	137	103	35	97	100	58	113	123	87	130	115	121	106	86
K00162	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	57	79	100	97	65	23	71	64	44	90	78	60	91	85	91	82	63
K00163	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	3	4	3	6	4	3	1	5	3	6	3	4	3	6	5	3	3
K00164	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	8	12	14	22	8	8	15	10	7	13	10	16	7	12	19	15	10
K00166	2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]	0	0	3	1	2	0	1	2	0	4	0	1	2	2	2	1	3
K00167	2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]	1	0	0	0	0	0	1	1	0	2	0	0	1	1	1	0	1
K00169	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	21	28	36	30	28	8	20	28	8	26	27	14	34	27	40	20	13
K00170	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	18	28	28	29	26	9	18	27	12	26	24	14	28	26	43	19	16
K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	23	34	41	48	24	12	25	24	15	39	34	22	33	28	38	23	19
K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	26	35	36	37	29	9	23	27	10	39	36	17	30	31	34	21	20
K00184	prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit	10	19	18	23	14	6	17	22	11	25	21	19	14	16	19	22	13
K00185	prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit	7	14	13	19	8	4	9	11	6	13	15	11	8	10	18	14	8
K00200	formylmethanofuran dehydrogenase subunit A [EC:1.2.99.5]	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
K00208	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	5	14	11	11	8	4	8	9	7	10	10	10	10	8	12	11	7
K00210	prephenate dehydrogenase [EC:1.3.1.12]	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
K00214	biliverdin reductase [EC:1.3.1.24]	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
K00215	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	30	50	53	49	35	18	41	47	19	47	39	44	40	43	56	40	31
K00217	maleylacetate reductase [EC:1.3.1.32]	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1
K00218	protochlorophyllide reductase [EC:1.3.1.33]	1	2	2	3	2	1	2	2	2	2	2	2	3	2	2	2	2
K00219	2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]	1	4	4	4	3	0	1	1	1	5	5	3	6	3	3	2	1
K00223	delta24(24(1))-sterol reductase [EC:1.3.1.71]	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
K00225	L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]	2	2	2	2	0	0	2	2	1	2	2	2	2	2	2	2	1
K00226	dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	0	1	1	0	0	0	1	1	0	1	0	0	2	0	0	0	0
K00228	coproporphyrinogen III oxidase [EC:1.3.3.3]	7	10	14	12	8	9	11	12	6	9	9	13	15	11	9	11	7
K00230	menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K00231	oxygen-dependent protoporphyrinogen oxidase [EC:1.3.3.4]	28	31	29	31	17	13	28	27	13	25	30	19	30	27	29	22	21
K00232	acyl-CoA oxidase [EC:1.3.3.6]	2	7	5	9	4	5	5	6	1	5	6	8	6	6	3	6	4
K00234	succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]	1	1	2	2	1	0	1	1	1	1	1	1	1	1	2	1	1
K00235	succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
K00239	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	34	59	66	65	41	25	46	52	25	56	57	34	62	49	56	42	34
K00240	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	17	40	36	34	27	13	24	35	14	38	39	20	37	27	43	24	24
K00241	succinate dehydrogenase / fumarate reductase, cytochrome b subunit	18	35	34	38	26	11	26	30	14	33	36	13	34	26	38	20	20
K00242	succinate dehydrogenase / fumarate reductase, membrane anchor subunit	13	30	30	27	22	8	19	24	10	26	24	10	28	21	24	14	13
K00244	fumarate reductase flavoprotein subunit [EC:1.3.5.4]	7	3	7	11	7	0	12	9	5	11	9	4	7	10	6	3	3
K00245	fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0
K00248	butyryl-CoA dehydrogenase [EC:1.3.8.1]	1	1	0	1	0	0	1	2	0	3	2	1	1	3	3	0	2
K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]	79	109	170	126	112	35	81	131	66	137	115	74	107	112	162	81	98
K00252	glutaryl-CoA dehydrogenase [EC:1.3.8.6]	11	16	30	25	18	8	16	16	9	22	15	13	19	19	17	13	12
K00253	isovaleryl-CoA dehydrogenase [EC:1.3.8.4]	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K00254	dihydroorotate dehydrogenase [EC:1.3.5.2]	28	30	46	44	28	15	31	33	20	43	39	25	45	41	44	31	26
K00257	E1.3.99.-	34	46	54	57	54	23	44	49	23	54	56	26	60	61	60	38	54
K00259	alanine dehydrogenase [EC:1.4.1.1]	5	10	10	15	7	7	7	10	6	12	10	12	10	8	13	12	6
K00261	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	34	51	53	37	46	15	26	44	21	46	37	29	32	32	53	33	25
K00262	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	0	1	1	3	3	0	1	2	1	3	2	1	2	2	4	1	2
K00263	leucine dehydrogenase [EC:1.4.1.9]	6	8	11	11	6	3	6	6	4	7	6	8	13	8	14	8	8
K00265	glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]	39	48	56	66	34	16	47	40	19	31	56	23	54	48	58	35	35
K00266	glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]	1	6	7	9	8	5	3	5	4	8	6	9	4	6	8	7	4
K00271	valine dehydrogenase (NAD+) [EC:1.4.1.23]	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
K00273	D-amino-acid oxidase [EC:1.4.3.3]	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0
K00274	monoamine oxidase [EC:1.4.3.4]	2	4	5	8	5	3	6	5	3	9	5	6	6	5	5	6	1
K00275	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	5	11	10	15	9	7	13	13	6	15	10	12	12	7	15	10	9
K00276	primary-amine oxidase [EC:1.4.3.21]	4	6	5	10	2	0	5	5	3	7	10	4	4	6	3	5	3
K00278	L-aspartate oxidase [EC:1.4.3.16]	22	30	40	35	23	18	26	27	14	31	32	17	24	31	41	23	27
K00281	glycine dehydrogenase [EC:1.4.4.2]	9	18	14	17	12	12	16	11	8	13	16	18	13	16	16	15	9
K00282	glycine dehydrogenase subunit 1 [EC:1.4.4.2]	23	35	39	40	30	10	27	31	10	31	25	16	35	38	39	25	23
K00283	glycine dehydrogenase subunit 2 [EC:1.4.4.2]	25	35	41	45	34	9	32	32	9	40	31	20	40	35	45	24	23
K00284	glutamate synthase (ferredoxin) [EC:1.4.7.1]	5	4	4	4	3	3	5	6	3	4	3	4	5	5	6	3	7
K00285	D-amino-acid dehydrogenase [EC:1.4.99.-]	10	8	5	11	10	1	6	8	3	6	9	7	12	8	7	7	6
K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	7	11	14	21	13	7	15	13	10	19	17	14	19	21	18	14	13
K00287	dihydrofolate reductase [EC:1.5.1.3]	8	25	27	39	22	15	29	23	15	30	29	18	46	46	22	30	14
K00288	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K00290	saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]	2	2	2	8	3	6	4	1	1	3	4	3	9	8	2	5	1
K00293	saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
K00294	1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	11	9	13	13	10	4	10	12	8	10	10	13	7	8	11	8	8
K00297	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	17	29	32	41	29	18	31	35	21	36	31	32	36	35	34	33	22
K00299	FMN reductase [EC:1.5.1.38]	6	7	5	7	6	4	6	5	6	3	8	5	3	7	8	4	6
K00301	sarcosine oxidase [EC:1.5.3.1]	27	27	23	25	17	5	19	20	12	20	22	12	25	24	24	18	16
K00302	sarcosine oxidase, subunit alpha [EC:1.5.3.1]	1	7	9	11	6	0	3	7	0	13	5	5	7	8	9	3	3
K00303	sarcosine oxidase, subunit beta [EC:1.5.3.1]	62	57	66	62	58	19	47	53	27	51	56	38	58	58	62	42	43
K00304	sarcosine oxidase, subunit delta [EC:1.5.3.1]	0	1	2	4	2	0	0	2	0	2	3	2	3	2	3	1	0
K00305	sarcosine oxidase, subunit gamma [EC:1.5.3.1]	0	2	3	5	3	0	2	2	0	4	3	3	3	3	2	2	0
K00311	electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]	37	51	54	65	45	13	34	36	14	43	48	28	53	53	68	38	35
K00313	electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	23	32	40	28	29	9	21	27	11	32	32	16	36	31	42	27	19
K00315	dimethylglycine dehydrogenase [EC:1.5.8.4]	0	1	2	1	1	0	2	2	0	1	2	1	0	2	1	1	0
K00317	dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0
K00318	proline dehydrogenase [EC:1.5.-.-]	20	27	42	37	28	13	25	25	12	32	35	21	28	28	41	31	25
K00320	5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]	27	32	36	37	24	8	30	32	9	30	34	14	37	32	37	26	20
K00322	NAD(P) transhydrogenase [EC:1.6.1.1]	0	1	1	3	1	0	0	1	0	1	1	2	1	1	1	2	0
K00324	NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]	10	16	25	45	19	14	35	23	17	30	32	19	40	42	29	21	19
K00325	NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]	6	10	12	25	8	6	17	14	9	15	18	8	27	21	16	13	8
K00326	cytochrome-b5 reductase [EC:1.6.2.2]	5	5	7	6	3	2	3	5	3	4	4	3	6	5	2	2	3
K00327	NADPH-ferrihemoprotein reductase [EC:1.6.2.4]	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
K00330	NADH-quinone oxidoreductase subunit A [EC:1.6.5.3]	23	34	31	33	25	11	23	30	9	33	30	13	32	25	36	19	19
K00331	NADH-quinone oxidoreductase subunit B [EC:1.6.5.3]	22	36	35	37	34	11	25	30	11	29	29	17	33	27	37	18	19
K00332	NADH-quinone oxidoreductase subunit C [EC:1.6.5.3]	6	11	8	10	7	4	10	11	6	14	7	8	8	8	9	10	9
K00333	NADH-quinone oxidoreductase subunit D [EC:1.6.5.3]	6	15	14	14	10	5	10	14	6	16	10	10	9	8	11	10	9
K00334	NADH-quinone oxidoreductase subunit E [EC:1.6.5.3]	4	8	10	11	7	4	4	8	4	7	9	6	7	6	8	7	6
K00335	NADH-quinone oxidoreductase subunit F [EC:1.6.5.3]	19	25	38	29	30	13	21	26	16	25	29	25	18	25	24	28	22
K00336	NADH-quinone oxidoreductase subunit G [EC:1.6.5.3]	5	12	18	14	9	6	8	15	6	9	13	11	6	10	10	13	5
K00337	NADH-quinone oxidoreductase subunit H [EC:1.6.5.3]	28	38	37	38	27	14	28	33	14	31	33	20	31	27	42	24	15
K00338	NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]	21	29	34	39	28	10	21	29	8	28	30	17	30	26	39	20	15
K00339	NADH-quinone oxidoreductase subunit J [EC:1.6.5.3]	35	49	61	62	41	28	45	52	17	46	60	30	53	52	58	40	28
K00340	NADH-quinone oxidoreductase subunit K [EC:1.6.5.3]	25	30	44	39	29	18	31	35	15	32	38	21	34	34	41	26	19
K00341	NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]	40	51	71	81	51	29	42	53	23	59	59	38	63	66	69	45	35
K00342	NADH-quinone oxidoreductase subunit M [EC:1.6.5.3]	28	54	54	62	40	17	38	46	20	45	45	32	46	47	58	41	32
K00343	NADH-quinone oxidoreductase subunit N [EC:1.6.5.3]	26	51	54	57	31	18	42	45	18	48	43	32	48	45	60	38	32
K00344	NADPH2:quinone reductase [EC:1.6.5.5]	72	112	119	79	84	34	62	73	44	78	85	63	86	87	110	73	57
K00356	NADH dehydrogenase [EC:1.6.99.3]	28	36	46	43	33	18	28	33	13	36	40	23	47	37	50	41	26
K00362	nitrite reductase (NADH) large subunit [EC:1.7.1.15]	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
K00363	nitrite reductase (NADH) small subunit [EC:1.7.1.15]	3	5	4	4	3	1	3	5	2	4	3	2	4	4	6	3	3
K00364	GMP reductase [EC:1.7.1.7]	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
K00365	urate oxidase [EC:1.7.3.3]	4	5	6	5	3	4	3	3	2	6	5	2	5	4	4	5	0
K00366	ferredoxin-nitrite reductase [EC:1.7.7.1]	34	33	41	33	33	22	21	36	14	43	39	17	39	32	49	25	28
K00367	ferredoxin-nitrate reductase [EC:1.7.7.2]	1	1	1	1	1	1	1	1	1	5	2	1	3	1	2	1	1
