KO_ID,Level_a,Level_b,Pathway,Function
K05857,Brite hierarchies,Genetic information processing,Membrane trafficking ,"phosphatidylinositol phospholipase C, delta [EC:3.1.4.11]"
K05860,Brite hierarchies,Genetic information processing,Membrane trafficking ,"phosphatidylinositol phospholipase C, epsilon [EC:3.1.4.11]"
K01116,Brite hierarchies,Genetic information processing,Membrane trafficking ,"phosphatidylinositol phospholipase C, gamma-1 [EC:3.1.4.11]"
K05859,Brite hierarchies,Genetic information processing,Membrane trafficking ,"phosphatidylinositol phospholipase C, gamma-2 [EC:3.1.4.11]"
K05861,Brite hierarchies,Genetic information processing,Membrane trafficking ,"phosphatidylinositol phospholipase C, zeta [EC:3.1.4.11]"
K19006,Brite hierarchies,Genetic information processing,Membrane trafficking ,"phosphatidylinositol phospholipase C, eta [EC:3.1.4.11]"
K01114,Brite hierarchies,Signaling and cellular processes,Bacterial toxins ,phospholipase C [EC:3.1.4.3]
K16619,Brite hierarchies,Signaling and cellular processes,Bacterial toxins ,phospholipase C / alpha-toxin [EC:3.1.4.3]
K03878,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,NADH-ubiquinone oxidoreductase chain 1 [EC:7.1.1.2]
K03879,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,NADH-ubiquinone oxidoreductase chain 2 [EC:7.1.1.2]
K03880,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,NADH-ubiquinone oxidoreductase chain 3 [EC:7.1.1.2]
K03881,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,NADH-ubiquinone oxidoreductase chain 4 [EC:7.1.1.2]
K03882,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,NADH-ubiquinone oxidoreductase chain 4L [EC:7.1.1.2]
K03883,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,NADH-ubiquinone oxidoreductase chain 5 [EC:7.1.1.2]
K03884,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,NADH-ubiquinone oxidoreductase chain 6 [EC:7.1.1.2]
K00412,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,ubiquinol-cytochrome c reductase cytochrome b subunit
K00414,Brite hierarchies,Metabolism,Peptidases and inhibitors ,ubiquinol-cytochrome c reductase core subunit 1
K00415,Brite hierarchies,Metabolism,Peptidases and inhibitors ,ubiquinol-cytochrome c reductase core subunit 2
K02257,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,heme o synthase [EC:2.5.1.141]
K02262,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,cytochrome c oxidase subunit 3
K02256,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,cytochrome c oxidase subunit 1 [EC:7.1.1.9]
K02261,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,cytochrome c oxidase subunit 2
K02258,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,cytochrome c oxidase assembly protein subunit 11
K02259,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,heme a synthase [EC:1.17.99.9]
K02260,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,cytochrome c oxidase assembly protein subunit 17
K02111,Brite hierarchies,Metabolism,Photosynthesis proteins ,F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]
K02112,Brite hierarchies,Metabolism,Photosynthesis proteins ,F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]
K02115,Brite hierarchies,Metabolism,Photosynthesis proteins ,F-type H+-transporting ATPase subunit gamma
K02113,Brite hierarchies,Metabolism,Photosynthesis proteins ,F-type H+-transporting ATPase subunit delta
K02114,Brite hierarchies,Metabolism,Photosynthesis proteins ,F-type H+-transporting ATPase subunit epsilon
K02108,Brite hierarchies,Genetic information processing,Chaperones and folding catalysts ,F-type H+-transporting ATPase subunit a
K02109,Brite hierarchies,Metabolism,Photosynthesis proteins ,F-type H+-transporting ATPase subunit b
K02110,Brite hierarchies,Metabolism,Photosynthesis proteins ,F-type H+-transporting ATPase subunit c
K02126,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,F-type H+-transporting ATPase subunit a
K02125,Brite hierarchies,Genetic information processing,Mitochondrial biogenesis ,F-type H+-transporting ATPase subunit 8
K02147,Brite hierarchies,Signaling and cellular processes,Exosome ,V-type H+-transporting ATPase subunit B
K02154,Brite hierarchies,Signaling and cellular processes,Exosome ,V-type H+-transporting ATPase subunit a
K11725,Brite hierarchies,Metabolism,Protein phosphatases and associated proteins ,phospholysine phosphohistidine inorganic pyrophosphate phosphatase [EC:3.6.1.1 3.1.3.-]
K11726,Brite hierarchies,Genetic information processing,Chromosome and associated proteins ,nucleosome-remodeling factor 38 kDa subunit [EC:3.6.1.1]
K00937,Brite hierarchies,Genetic information processing,Messenger RNA biogenesis ,polyphosphate kinase [EC:2.7.4.1]
K22468,Brite hierarchies,Genetic information processing,Messenger RNA biogenesis ,polyphosphate kinase [EC:2.7.4.34]
K02703,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II P680 reaction center D1 protein [EC:1.10.3.9]
K02704,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II CP47 chlorophyll apoprotein
K02705,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II CP43 chlorophyll apoprotein
K02706,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II P680 reaction center D2 protein [EC:1.10.3.9]
K02707,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II cytochrome b559 subunit alpha
K02708,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II cytochrome b559 subunit beta
K02709,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II PsbH protein
K02710,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II PsbI protein
K02711,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II PsbJ protein
K02712,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II PsbK protein
K02713,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II PsbL protein
K02714,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II PsbM protein
K02716,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II oxygen-evolving enhancer protein 1
K02717,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II oxygen-evolving enhancer protein 2
K08901,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II oxygen-evolving enhancer protein 3
K03541,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II 10kDa protein
K03542,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II 22kDa protein
K02718,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II PsbT protein
K02719,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II PsbU protein
K02720,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II cytochrome c550
K02721,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II PsbW protein
K02722,Brite hierarchies,Metabolism,Photosynthesis proteins ,photosystem II PsbX protein
